job_position_name,matched_score,predicted_score
Asst. Manager/ Manger (Administrative),0.95,0.8673589160998654
Database Administrator (DBA),0.906666667,0.864972265313142
HR Officer,0.883333333,0.8625648364463135
"Manager- Human Resource Management (HRM)
",0.85,0.8621978270181995
"Full Stack Developer (Python,React js)",0.94,0.8610614904537274
Sr.Officer / Executive - Internal Audit,0.883333333,0.8601463685178161
"System Administrator (Operation & Maintenance of Server, Storage & Service Desk System)",0.883333333,0.8580424183545512
"Manager- Human Resource Management (HRM)
",0.85,0.8570828954954041
Asst. Manager/ Manger (Administrative),0.896666667,0.8566431736116346
"Manager- Human Resource Management (HRM)
",0.893333333,0.8546679843441253
Database Administrator (DBA),0.873333333,0.8546052542687369
Asst. Manager/ Manger (Administrative),0.95,0.8545141260514665
Sr.Officer / Executive - Internal Audit,0.883333333,0.8541395890458648
Asst. Manager/ Manger (Administrative),0.95,0.8539205064612772
Network Support Engineer,0.97,0.8525939227970258
HR Officer,0.893333333,0.8520960918160447
HR Officer,0.88,0.8516320932990179
Intern (Generative AI Engineering - 2D/3D Image Generation),0.883333333,0.851371976113675
Database Administrator (DBA),0.893333333,0.8504576349265134
Intern (Generative AI Engineering - 2D/3D Image Generation),0.85,0.8496898612534409
Executive - VAT,0.926666667,0.8495455068963981
"Manager- Human Resource Management (HRM)
",0.85,0.8494772879065454
Asst. Manager/ Manger (Administrative),0.883333333,0.8485213636434227
Asst. Manager/ Manger (Administrative),0.883333333,0.8483121377531123
"Manager- Human Resource Management (HRM)
",0.95,0.8472725217727238
Intern (Generative AI Engineering - 2D/3D Image Generation),0.85,0.8471085943200432
"Full Stack Developer (Python,React js)",0.85,0.8467359279362114
Intern (Generative AI Engineering - 2D/3D Image Generation),0.883333333,0.8466296374670287
Intern (Generative AI Engineering - 2D/3D Image Generation),0.85,0.8460233659088537
Database Administrator (DBA),0.926666667,0.8459910232835495
Intern (Generative AI Engineering - 2D/3D Image Generation),0.85,0.845774011699275
"Manager- Human Resource Management (HRM)
",0.85,0.8457041804699635
Intern (Generative AI Engineering - 2D/3D Image Generation),0.85,0.8456013865253061
"Full Stack Developer (Python,React js)",0.85,0.845268770772457
Database Administrator (DBA),0.92,0.845197501540746
Machine Learning (ML) Engineer,0.926666667,0.8449203878385957
Intern (Generative AI Engineering - 2D/3D Image Generation),0.85,0.8448916437236692
Asst. Manager/ Manger (Administrative),0.85,0.8448591320276682
Asst. Manager/ Manger (Administrative),0.873333333,0.8448266890557214
Database Administrator (DBA),0.816666667,0.844615087590886
"Full Stack Developer (Python,React js)",0.85,0.8440344051674494
Intern (Generative AI Engineering - 2D/3D Image Generation),0.85,0.8440133412536351
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",0.85,0.8439979986888647
Network Support Engineer,0.826666667,0.8437190909210289
Sr.Officer / Executive - Internal Audit,0.85,0.8436851240407305
"Full Stack Developer (Python,React js)",0.85,0.8432877445667761
Intern (Generative AI Engineering - 2D/3D Image Generation),0.85,0.8432451108951302
Network Support Engineer,0.88,0.8430153292241794
Machine Learning (ML) Engineer,0.863333333,0.8426894664805654
Intern (Generative AI Engineering - 2D/3D Image Generation),0.816666667,0.8426096468991662
Asst. Manager/ Manger (Administrative),0.85,0.8425177942297994
Machine Learning (ML) Engineer,0.85,0.8424718974661289
Intern (Generative AI Engineering - 2D/3D Image Generation),0.85,0.8423270957198199
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",0.85,0.8422393185348062
Management Trainee - Mechanical,0.926666667,0.8421118273257018
Network Support Engineer,0.85,0.8420999831112885
Machine Learning (ML) Engineer,0.85,0.8418161123656408
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",0.85,0.8416275224373891
Database Administrator (DBA),0.85,0.841431081369374
Machine Learning (ML) Engineer,0.873333333,0.8409495497817671
Intern (Generative AI Engineering - 2D/3D Image Generation),0.85,0.8409047480660522
Intern (Generative AI Engineering - 2D/3D Image Generation),0.85,0.8407837558396035
Executive - VAT,0.85,0.8407729283994485
Machine Learning (ML) Engineer,0.916666667,0.8407330351242409
Machine Learning (ML) Engineer,0.85,0.8405709985237247
"System Administrator (Operation & Maintenance of Server, Storage & Service Desk System)",0.85,0.8404556929047932
Database Administrator (DBA),0.85,0.8404340137937294
"Full Stack Developer (Python,React js)",0.85,0.8403405628230762
Machine Learning (ML) Engineer,0.85,0.8402062839125133
Intern (Generative AI Engineering - 2D/3D Image Generation),0.826666667,0.840198842492911
Network Support Engineer,0.85,0.8401898819844564
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",0.85,0.8401219921049465
Intern (Generative AI Engineering - 2D/3D Image Generation),0.85,0.8399880886388565
Machine Learning (ML) Engineer,0.85,0.8399164714550654
"Full Stack Developer (Python,React js)",0.85,0.8397486251628664
AI Engineer,0.916666667,0.8396796960205126
"Manager- Human Resource Management (HRM)
",0.873333333,0.839423506481944
Machine Learning (ML) Engineer,0.85,0.8393985336806659
Asst. Manager/ Manger (Administrative),0.936666667,0.8392631475565623
AI Engineer,0.85,0.8391249613570769
Machine Learning (ML) Engineer,0.85,0.8387020552311935
